排名,片名,评分,评价人数,导演,主演,简介,年份,类型,片长,IMDb,链接
178,绿里奇迹,8.9,390614,弗兰克·德拉邦特 Frank Darabont,汤姆·汉克斯 Tom Hanks / ...,,1999,剧情/悬疑/犯罪/奇幻,189 分钟,tt0120689,https://movie.douban.com/subject/1300374/
179,爱在午夜降临前,8.9,477218,理查德·林克莱特 Richard Linklater,伊桑·霍克 Ethan Hawke ...,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,2013,剧情/爱情,109分钟,tt2209418,https://movie.douban.com/subject/10808442/
180,雨中曲,9.1,270700,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,吉恩·...,,1952,喜剧/爱情/歌舞,103分钟,tt0045152,https://movie.douban.com/subject/1293460/
181,疯狂的石头,8.6,930319,宁浩 Hao Ning,郭涛 Tao Guo / 刘桦 Hua Liu / 连晋 Teddy Lin,中国版《两杆大烟枪》。,2006,喜剧/犯罪,106分钟(香港),tt0843270,https://movie.douban.com/subject/1862151/
182,2001太空漫游,8.9,399608,斯坦利·库布里克 Stanley Kubrick,凯尔·杜拉 Keir Dullea / ...,,1968,科幻/惊悚/冒险,149分钟,tt0062622,https://movie.douban.com/subject/1292226/
183,海街日记,8.8,524523,是枝裕和 Hirokazu Koreeda,绫濑遥 Haruka Ayase / 长泽雅美 M...,是枝裕和的家庭习作。,2015,剧情/家庭,127分钟,tt3756788,https://movie.douban.com/subject/25895901/
184,风之谷,8.9,395249,宫崎骏 Hayao Miyazaki,岛本须美 Sumi Shimamoto / 松田洋治 Y...,,1992,动画/奇幻/冒险,117分钟,tt0087544,https://movie.douban.com/subject/1291585/
185,上帝之城,9.0,334907,"费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...
                            2002 / 巴西 法国 / 犯罪 剧情",,,2002,剧情/犯罪,130分钟,tt0317248,https://movie.douban.com/subject/1292208/
186,心迷宫,8.7,621620,忻钰坤 Yukun Xin,霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,2015,剧情/悬疑/犯罪,110分钟(中国大陆),tt4078856,https://movie.douban.com/subject/25917973/
187,英雄本色,8.6,609288,吴宇森 John Woo,周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,,2017,剧情/动作/犯罪,95分钟,tt0092263,https://movie.douban.com/subject/1297574/
188,记忆碎片,8.7,673341,克里斯托弗·诺兰 Christopher Nolan,盖·皮尔斯 Guy Pearce /...,,2026,剧情/悬疑/惊悚/犯罪,113分钟,tt0209144,https://movie.douban.com/subject/1304447/
189,纵横四海,8.8,484425,吴宇森 John Woo,周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,,2026,剧情/喜剧/动作/犯罪,109分钟,tt0101020,https://movie.douban.com/subject/1295409/
190,无敌破坏王,8.7,615011,瑞奇·莫尔 Rich Moore,约翰·C·赖利 John C. Reilly / 萨拉...,迪士尼和皮克斯拿错剧本的产物。,2012,喜剧/动画/奇幻/冒险,101分钟,tt1772341,https://movie.douban.com/subject/6534248/
191,卢旺达饭店,8.9,368917,特瑞·乔治 Terry George,唐·钱德尔 Don Cheadle / 苏菲·奥...,当这个世界闭上双眼，他却敞开了怀抱。,2004,剧情/传记/历史/战争,121分钟,tt0395169,https://movie.douban.com/subject/1291822/
192,牯岭街少年杀人事件,8.9,372520,杨德昌 Edward Yang,张震 Chen Chang / 杨静怡 Lisa Yang / 张...,,1991,剧情/犯罪,237分钟(导演剪辑版),tt0101985,https://movie.douban.com/subject/1292329/
193,恐怖游轮,8.5,996465,克里斯托弗·史密斯 Christopher Smith,梅利莎·乔治 Melissa ...,不要企图在重复中寻找已经失去的爱。,2009,科幻/悬疑/惊悚/奇幻,99分钟,tt1187064,https://movie.douban.com/subject/3011051/
194,东京教父,9.0,293590,今敏 Satoshi Kon,江守彻 Toru Emori / 梅垣义明 Yoshiaki Ume...,,2003,剧情/喜剧/动画,92分钟,tt0388473,https://movie.douban.com/subject/1310177/
